Russian,Latin
"Бубенчик лилиелистный","Adenophora liliifolia"
"Адиантум венерин волос","Adiantum capillus-veneris"
"Адонис весенний","Adonis vernalis"
"Лук натальи","Allium nathaliae"
"Лук диоскорида","Allium siculum"
"Амарант","Amaranthus"
"Анакамптис клопоносный","Anacamptis coriophora"
"Проломник крымский","Androsace villosa"
"Пупавка бесплодная","Anthemis sterilis"
"Венечник лилейный","Anthericum liliago"
"Полынь крымская","Artemisia taurica"
"Асфоделина желтая","Asphodeline lutea"
"Асфоделина крымская","Asphodeline taurica"
"Каперс травянистый","Capparis herbacea"
"Пыльцеголовник крупноцветковый","Cephalanthera damasonium"
"Цикорий обыкновенный","Cichorium intybus"
"Ландыш майский","Convallaria majalis"
"Боярышник карадагский","Crataegus karadaghensis"
"Шафран адама","Crocus biflorus"
"Цикламен коский","Cyclamen coum"
"Венерин башмачок","Cypripedium calceolus"
"Пальчатокоренник иберийский","Dactylorhiza iberica"
"Дурман обыкновенный","Datura stramonium"
"Хвощ речной","Equisetum fluviatile"
"Эремурус представительный","Eremurus spectabilis"
"Синеголовник морской","Eryngium maritimum"
"Подснежник складчатый","Galanthus plicatus"
"Гудайера ползучая","Goodyera repens"
"Мухомор красный","Amanita muscaria"
"Борщевик лигустиколистный","Heracleum ligusticifolium"
"Ирис низкий","Iris pumila"
"Офрис пчелоносная","Ophrys apifera"
"Пион тонколистный","Paeonia tenuifolia"
"Листовик обыкновенный","Phyllitis scolopendrium"
"Любка двулистная","Platanthera bifolia"
"Ламира ежеголовая","Ptilostemon echinocephalus"
"Василёк талиева","Rhaponticoides taliewii"
"Иглица колючая","Ruscus aculeatus"
"Иглица подъязычная","Ruscus hypoglossum"
"Пролеска двулистная","Scilla bifolia"
"Крестовник крымский","Senecio tauricus"
"Железница крымская","Sideritis taurica"
"Одуванчик","Taraxacum"
"Тис ягодный","Taxus baccat"
"Чабрец обыкновенный","Thymus vulgaris"
"Липа пушистостолбиковая","Tilia dasystyla"
"Клевер луговой","Trifolium pratense"
"Тюльпан двуцветковый","Tulipa biflora"
"Рогоз","Typha"
"Лисичка обыкновенная","Cantharellus cibarius"
"Опунция", "Opuntia ficus-indica"
